"Index","Lambda","filling_avg_temp","filling_fq_Maximum_temperature..31","filling_fq_Precipitation_amount..0.1","filling_fq_Precipitation_amount..40","filling_fq_Snow_depth..1","filling_length_days","filling_since_nyear_days","filling_since_seed_days","filling_sk_Maximum_temperature..31","filling_sk_Precipitation_amount..0.1","filling_sk_Precipitation_amount..40","filling_sk_Snow_depth..1","filling_total_prec","generative_avg_temp","generative_fq_Maximum_temperature..31","generative_fq_Precipitation_amount..0.1","generative_fq_Precipitation_amount..40","generative_fq_Snow_depth..1","generative_length_days","generative_since_nyear_days","generative_since_seed_days","generative_sk_Maximum_temperature..31","generative_sk_Precipitation_amount..0.1","generative_sk_Precipitation_amount..40","generative_sk_Snow_depth..1","generative_total_prec","NA_avg_temp","NA_fq_Maximum_temperature..31","NA_fq_Minimum_temperature...15","NA_fq_Precipitation_amount..0.1","NA_fq_Precipitation_amount..40","NA_fq_Snow_depth..1","NA_fq_Snow_depth..4","NA_length_days","NA_sk_Maximum_temperature..31","NA_sk_Minimum_temperature...15","NA_sk_Precipitation_amount..0.1","NA_sk_Precipitation_amount..40","NA_sk_Snow_depth..1","NA_sk_Snow_depth..4","NA_total_prec","vegetative_avg_temp","vegetative_fq_Maximum_temperature..31","vegetative_fq_Precipitation_amount..0.1","vegetative_fq_Precipitation_amount..40","vegetative_fq_Snow_depth..1","vegetative_fq_Snow_depth..4","vegetative_length_days","vegetative_since_nyear_days","vegetative_sk_Maximum_temperature..31","vegetative_sk_Precipitation_amount..0.1","vegetative_sk_Precipitation_amount..40","vegetative_sk_Snow_depth..1","vegetative_sk_Snow_depth..4","vegetative_total_prec","critical_events","filling","generative","NA.","vegetative","area"
"S1",0.00633222693162609,0.0366899551193976,0,0,0.000293608954630314,-0.000270079349489553,0.00132047018028186,0,-0.00159135721990596,0.00165341638971919,0,0,-0.000714685055221045,0.00100060008784685,0.0209568857187641,0.000519274110341355,0,-0.000940062647175091,0.000193650549662209,-0.000380580606361885,0,0,-0.000923025378359512,4.48474671861404e-05,-0.000219240389137838,-0.000190758778676798,-0.00632305444920179,0.0218330153264215,0.00246212484103017,0,0.0448806972693347,0,0.00473554874004197,0.000773648139853681,0,0.000177154599230667,0,-0.00138918499090731,0,0.00675295788533505,0,-0.00225421950947012,0,0,0.00503424853424409,6.68678126561503e-05,0,0,0,0.00134247405156112,0,0.00495877505858364,5.07219337948404e-07,0,0,0.00115598936508507,0,0.00239852701666907,0,0.00640908421626679,0,0.724903032875287
"ST",0.00633222693162609,-0.000772256215765573,0,0,0.000699812250325482,0.00186205147140787,0.00354921184285291,0,0.00119094220238042,-0.000556151499539409,0,0,0.00092122896116352,0.00486755848858708,0.0237621584623642,-0.000282527712433303,0,0.000825162720452176,-0.000757882276739157,0.000280080479404024,0,0,0.0012842967381921,-0.000101054998945279,0.000542608626147998,0.000168784159350318,0.00823367469909483,0.0279762732905154,-0.00203088846122601,0,0.0449728377752757,0,0.00298715951538171,-0.000248533521962724,0,0.000491819657735486,0,0.00288610635140118,0,-0.000394616650966367,0,0.0106363981876269,0,0,-0.00496420840287029,-4.6754866134129e-05,0,0,0,0.014981706535457,0,-0.0003235814128663,-3.69460321542757e-07,0,0,0.000831210793639427,0,-0.00228331212671791,0,0.00848814983783983,0,0.980070846214452
"S1",0.0446726091079472,0,0,0,0,0,0,0,-0.00111831436952539,0,0,0,0,-0.000276363122620087,0.000804192647630314,0,0,0,2.8023842901912e-05,-0.00165683682142671,0,0,0,0,0,-0.00187534804834034,-0.00398513831390691,0.00399948464636612,0,0,0.018122771575491,0,0.000262729692730605,0.0175413523197124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00247569260658236,0,0,0,0,0,0,0,0,0,0,0,0.788328873602183
"ST",0.0446726091079472,0,0,0,0,0,0,0,0.00146016408445258,0,0,0,0,0.000541875997216027,0.00164895222800117,0,0,0,-0.00099647217474435,0.00179409683903587,0,0,0,0,0,0.00191193400294369,0.00449912516585875,0.00825066427044025,0,0,0.018149585686534,0,2.38823757344224e-05,-0.00743071335093112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221162389353459,0,0,0,0,0,0,0,0,0,0,0,1.13077003885748
