"","ST 0.0790742913184156","ST 0.220028912571215"
"filling_avg_temp",3,4
"filling_fq_Maximum_temperature..31",29,44
"filling_fq_Precipitation_amount..0.1",44,37
"filling_fq_Precipitation_amount..40",11,13
"filling_fq_Snow_depth..1",13,24
"filling_length_days",21,36
"filling_since_nyear_days",23,23
"filling_since_seed_days",50,55
"filling_sk_Maximum_temperature..31",15,17
"filling_sk_Precipitation_amount..0.1",40,41
"filling_sk_Precipitation_amount..40",27,34
"filling_sk_Snow_depth..1",38,42
"filling_total_prec",12,9
"generative_avg_temp",9,11
"generative_fq_Maximum_temperature..31",34,32
"generative_fq_Precipitation_amount..0.1",46,61
"generative_fq_Precipitation_amount..40",45,33
"generative_fq_Snow_depth..1",33,39
"generative_length_days",31,25
"generative_since_nyear_days",14,12
"generative_since_seed_days",35,29
"generative_sk_Maximum_temperature..31",39,38
"generative_sk_Precipitation_amount..0.1",49,45
"generative_sk_Precipitation_amount..40",32,27
"generative_sk_Snow_depth..1",30,20
"generative_total_prec",47,31
"NA_avg_temp",4,5
"NA_fq_Maximum_temperature..31",61,51
"NA_fq_Minimum_temperature...15",7,7
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",56,59
"NA_fq_Snow_depth..1",37,14
"NA_fq_Snow_depth..4",5,3
"NA_length_days",36,52
"NA_sk_Maximum_temperature..31",26,22
"NA_sk_Minimum_temperature...15",18,15
"NA_sk_Precipitation_amount..0.1",19,30
"NA_sk_Precipitation_amount..40",51,53
"NA_sk_Snow_depth..1",8,10
"NA_sk_Snow_depth..4",41,54
"NA_total_prec",10,8
"vegetative_avg_temp",24,43
"vegetative_fq_Maximum_temperature..31",53,56
"vegetative_fq_Precipitation_amount..0.1",22,46
"vegetative_fq_Precipitation_amount..40",55,50
"vegetative_fq_Snow_depth..1",43,49
"vegetative_fq_Snow_depth..4",60,60
"vegetative_length_days",58,35
"vegetative_since_nyear_days",20,16
"vegetative_sk_Maximum_temperature..31",54,57
"vegetative_sk_Precipitation_amount..0.1",17,21
"vegetative_sk_Precipitation_amount..40",52,47
"vegetative_sk_Snow_depth..1",42,28
"vegetative_sk_Snow_depth..4",59,58
"vegetative_total_prec",16,19
"critical_events",48,40
"filling",57,48
"generative",28,18
"NA.",6,6
"vegetative",25,26
"area",1,1
