"","S1 0.0790742913184156","S1 0.220028912571215"
"filling_avg_temp",3,4
"filling_fq_Maximum_temperature..31",28,43
"filling_fq_Precipitation_amount..0.1",41,39
"filling_fq_Precipitation_amount..40",11,13
"filling_fq_Snow_depth..1",14,26
"filling_length_days",21,41
"filling_since_nyear_days",25,23
"filling_since_seed_days",55,57
"filling_sk_Maximum_temperature..31",16,17
"filling_sk_Precipitation_amount..0.1",38,38
"filling_sk_Precipitation_amount..40",26,33
"filling_sk_Snow_depth..1",31,36
"filling_total_prec",12,9
"generative_avg_temp",9,14
"generative_fq_Maximum_temperature..31",32,30
"generative_fq_Precipitation_amount..0.1",52,47
"generative_fq_Precipitation_amount..40",56,44
"generative_fq_Snow_depth..1",39,52
"generative_length_days",33,25
"generative_since_nyear_days",13,11
"generative_since_seed_days",47,40
"generative_sk_Maximum_temperature..31",34,29
"generative_sk_Precipitation_amount..0.1",54,59
"generative_sk_Precipitation_amount..40",35,28
"generative_sk_Snow_depth..1",37,22
"generative_total_prec",48,32
"NA_avg_temp",4,5
"NA_fq_Maximum_temperature..31",59,53
"NA_fq_Minimum_temperature...15",7,7
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",53,56
"NA_fq_Snow_depth..1",46,16
"NA_fq_Snow_depth..4",5,3
"NA_length_days",36,58
"NA_sk_Maximum_temperature..31",27,20
"NA_sk_Minimum_temperature...15",18,15
"NA_sk_Precipitation_amount..0.1",20,35
"NA_sk_Precipitation_amount..40",44,48
"NA_sk_Snow_depth..1",8,10
"NA_sk_Snow_depth..4",30,46
"NA_total_prec",10,8
"vegetative_avg_temp",22,34
"vegetative_fq_Maximum_temperature..31",51,55
"vegetative_fq_Precipitation_amount..0.1",24,42
"vegetative_fq_Precipitation_amount..40",57,51
"vegetative_fq_Snow_depth..1",42,49
"vegetative_fq_Snow_depth..4",58,54
"vegetative_length_days",49,31
"vegetative_since_nyear_days",15,12
"vegetative_sk_Maximum_temperature..31",60,60
"vegetative_sk_Precipitation_amount..0.1",17,19
"vegetative_sk_Precipitation_amount..40",50,45
"vegetative_sk_Snow_depth..1",40,27
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",19,21
"critical_events",43,37
"filling",45,50
"generative",29,18
"NA.",6,6
"vegetative",23,24
"area",1,1
