"","ST 0.0331357891467889","ST 0.161126140424556"
"filling_avg_temp",5,61
"filling_fq_Maximum_temperature..31",61,19
"filling_fq_Precipitation_amount..0.1",61,61
"filling_fq_Precipitation_amount..40",18,61
"filling_fq_Snow_depth..1",15,61
"filling_length_days",21,61
"filling_since_nyear_days",61,61
"filling_since_seed_days",30,6
"filling_sk_Maximum_temperature..31",17,11
"filling_sk_Precipitation_amount..0.1",61,61
"filling_sk_Precipitation_amount..40",61,61
"filling_sk_Snow_depth..1",31,61
"filling_total_prec",9,9
"generative_avg_temp",4,7
"generative_fq_Maximum_temperature..31",27,61
"generative_fq_Precipitation_amount..0.1",61,61
"generative_fq_Precipitation_amount..40",24,16
"generative_fq_Snow_depth..1",22,10
"generative_length_days",29,15
"generative_since_nyear_days",61,61
"generative_since_seed_days",61,61
"generative_sk_Maximum_temperature..31",26,61
"generative_sk_Precipitation_amount..0.1",35,61
"generative_sk_Precipitation_amount..40",23,20
"generative_sk_Snow_depth..1",32,14
"generative_total_prec",16,12
"NA_avg_temp",3,5
"NA_fq_Maximum_temperature..31",34,18
"NA_fq_Minimum_temperature...15",61,61
"NA_fq_Precipitation_amount..0.1",2,2
"NA_fq_Precipitation_amount..40",61,61
"NA_fq_Snow_depth..1",10,8
"NA_fq_Snow_depth..4",11,4
"NA_length_days",61,61
"NA_sk_Maximum_temperature..31",19,17
"NA_sk_Minimum_temperature...15",33,61
"NA_sk_Precipitation_amount..0.1",20,61
"NA_sk_Precipitation_amount..40",61,61
"NA_sk_Snow_depth..1",12,61
"NA_sk_Snow_depth..4",61,61
"NA_total_prec",8,13
"vegetative_avg_temp",61,61
"vegetative_fq_Maximum_temperature..31",61,61
"vegetative_fq_Precipitation_amount..0.1",25,61
"vegetative_fq_Precipitation_amount..40",36,61
"vegetative_fq_Snow_depth..1",61,61
"vegetative_fq_Snow_depth..4",61,61
"vegetative_length_days",61,61
"vegetative_since_nyear_days",7,3
"vegetative_sk_Maximum_temperature..31",61,61
"vegetative_sk_Precipitation_amount..0.1",13,61
"vegetative_sk_Precipitation_amount..40",37,61
"vegetative_sk_Snow_depth..1",61,61
"vegetative_sk_Snow_depth..4",61,61
"vegetative_total_prec",14,61
"critical_events",61,61
"filling",28,61
"generative",61,61
"NA.",6,61
"vegetative",61,61
"area",1,1
