"filling_avg_temp","filling_fq_Maximum_temperature..31","filling_fq_Precipitation_amount..0.1","filling_fq_Precipitation_amount..40","filling_fq_Snow_depth..1","filling_length_days","filling_since_nyear_days","filling_since_seed_days","filling_sk_Maximum_temperature..31","filling_sk_Precipitation_amount..0.1","filling_sk_Precipitation_amount..40","filling_sk_Snow_depth..1","filling_total_prec","generative_avg_temp","generative_fq_Maximum_temperature..31","generative_fq_Precipitation_amount..0.1","generative_fq_Precipitation_amount..40","generative_fq_Snow_depth..1","generative_length_days","generative_since_nyear_days","generative_since_seed_days","generative_sk_Maximum_temperature..31","generative_sk_Precipitation_amount..0.1","generative_sk_Precipitation_amount..40","generative_sk_Snow_depth..1","generative_total_prec","NA_avg_temp","NA_fq_Maximum_temperature..31","NA_fq_Minimum_temperature...15","NA_fq_Precipitation_amount..0.1","NA_fq_Precipitation_amount..40","NA_fq_Snow_depth..1","NA_fq_Snow_depth..4","NA_length_days","NA_sk_Maximum_temperature..31","NA_sk_Minimum_temperature...15","NA_sk_Precipitation_amount..0.1","NA_sk_Precipitation_amount..40","NA_sk_Snow_depth..1","NA_sk_Snow_depth..4","NA_total_prec","vegetative_avg_temp","vegetative_fq_Maximum_temperature..31","vegetative_fq_Precipitation_amount..0.1","vegetative_fq_Precipitation_amount..40","vegetative_fq_Snow_depth..1","vegetative_fq_Snow_depth..4","vegetative_length_days","vegetative_since_nyear_days","vegetative_sk_Maximum_temperature..31","vegetative_sk_Precipitation_amount..0.1","vegetative_sk_Precipitation_amount..40","vegetative_sk_Snow_depth..1","vegetative_sk_Snow_depth..4","vegetative_total_prec","critical_events","filling","generative","NA.","vegetative","area"
15.6351063829787,0,28,0,47,47,192,58,0,11,0,47,90.5,14.8712121212121,0,19,0,33,33,159,25,0,5,0,33,69.5,-1.60785440613027,0,47,136,0,92,168,261,0,10,20,0,81,98,428.8,10.354,0,19,0,25,0,25,134,0,8,0,25,0,32.1,952,75,52,443,44,38.9
14.7411764705882,0,17,1,51,51,192,52,0,6,1,51,247.6,14.1357142857143,0,14,0,35,35,157,17,0,6,0,35,144.6,-1.01641221374046,0,30,118,0,99,154,262,0,8,16,0,87,108,448.5,13.85,0,13,0,17,0,17,140,0,4,0,17,0,10.5,888,69,49,401,30,36.9
14.223,0,31,0,50,50,201,63,0,9,0,50,102.7,13.2692307692308,0,27,0,39,39,162,24,0,8,0,39,76.5,-0.39047619047619,0,31,155,0,114,130,252,0,13,15,0,68,98,308.3,11.1583333333333,0,21,0,24,0,24,138,0,11,0,24,0,12.9,957,81,66,430,45,38.4
16.4548780487805,0,26,0,41,41,189,54,0,6,0,41,80.7,13.9027777777778,0,26,0,36,36,153,18,0,5,0,36,45.8,0.616111111111111,0,37,148,0,130,131,270,0,11,13,0,129,79,440.3,13.0916666666667,0,10,0,18,0,18,135,0,6,0,18,0,28.4,947,67,62,446,28,35.8
14.153,0,31,1,50,50,192,53,0,9,1,50,155.2,13.17625,0,21,0,40,40,152,13,0,5,0,40,109.5,0.479657794676806,0,28,136,0,124,134,263,0,6,18,0,118,106,509.9,16.2307692307692,0,10,0,13,0,13,139,0,7,0,13,0,11,961,82,61,422,23,27.7
15.4277777777778,0,21,0,45,45,196,54,0,9,0,45,169,15.6666666666667,0,21,0,30,30,166,24,0,7,0,30,52.9,-3.2203007518797,0,67,159,0,114,150,266,0,24,11,0,91,112,405.4,11.0520833333333,0,15,0,24,0,24,142,0,7,0,24,0,30.8,1006,66,51,490,39,32.3
15.9738095238095,0,23,1,42,42,187,50,0,7,1,42,150.9,16.3620689655172,0,25,0,29,29,158,21,0,25,0,29,10.5,-0.71007326007326,0,53,149,0,138,129,273,0,10,17,0,106,100,489.8,11.8309523809524,0,10,0,21,0,21,137,0,3,0,21,0,62.8,981,66,54,469,31,32.2
10.7427536231884,0,31,0,69,69,204,60,0,13,0,69,235.1,14.0485714285714,0,26,0,35,35,169,25,0,12,0,35,71.4,-3.45741525423729,0,51,160,0,83,148,236,0,16,25,0,83,105,225.3,10.67,0,15,0,25,0,25,144,0,8,0,25,0,60.1,1034,100,61,442,40,31.2
18.5057142857143,0,18,0,35,35,182,45,0,7,0,35,103,17.0711538461538,0,18,0,26,26,156,19,0,7,0,26,38.6,0.604195804195804,0,27,140,0,112,173,286,0,5,13,0,103,119,547.9,12.6421052631579,0,15,0,19,0,19,137,0,5,0,19,0,26.3,922,53,44,452,34,28.5
16.4085365853659,0,22,0,41,41,183,51,0,9,0,41,118.8,16.2120689655172,0,19,0,29,29,154,22,0,8,0,29,29.5,2.56336996336996,0,13,145,0,151,118,273,0,9,16,0,147,76,409,11.4181818181818,0,16,0,22,0,22,132,0,11,0,22,0,24,944,63,48,427,38,34.6
