"Index","Lambda","filling_avg_temp","filling_fq_Maximum_temperature..31","filling_fq_Precipitation_amount..0.1","filling_fq_Precipitation_amount..40","filling_fq_Snow_depth..1","filling_length_days","filling_since_nyear_days","filling_since_seed_days","filling_sk_Maximum_temperature..31","filling_sk_Precipitation_amount..0.1","filling_sk_Precipitation_amount..40","filling_sk_Snow_depth..1","filling_total_prec","generative_avg_temp","generative_fq_Maximum_temperature..31","generative_fq_Precipitation_amount..0.1","generative_fq_Precipitation_amount..40","generative_fq_Snow_depth..1","generative_length_days","generative_since_nyear_days","generative_since_seed_days","generative_sk_Maximum_temperature..31","generative_sk_Precipitation_amount..0.1","generative_sk_Precipitation_amount..40","generative_sk_Snow_depth..1","generative_total_prec","NA_avg_temp","NA_fq_Maximum_temperature..31","NA_fq_Minimum_temperature...15","NA_fq_Precipitation_amount..0.1","NA_fq_Precipitation_amount..40","NA_fq_Snow_depth..1","NA_fq_Snow_depth..4","NA_length_days","NA_sk_Maximum_temperature..31","NA_sk_Minimum_temperature...15","NA_sk_Precipitation_amount..0.1","NA_sk_Precipitation_amount..40","NA_sk_Snow_depth..1","NA_sk_Snow_depth..4","NA_total_prec","vegetative_avg_temp","vegetative_fq_Maximum_temperature..31","vegetative_fq_Precipitation_amount..0.1","vegetative_fq_Precipitation_amount..40","vegetative_fq_Snow_depth..1","vegetative_fq_Snow_depth..4","vegetative_length_days","vegetative_since_nyear_days","vegetative_sk_Maximum_temperature..31","vegetative_sk_Precipitation_amount..0.1","vegetative_sk_Precipitation_amount..40","vegetative_sk_Snow_depth..1","vegetative_sk_Snow_depth..4","vegetative_total_prec","critical_events","filling","generative","NA.","vegetative","area"
"S1",0.00576968934386906,0.0328668917756897,0,0,0.000590392273434181,0.00364575079667495,5.18000013510811e-06,0,0.000208396006386635,0.000400467903239206,0,0,0.00031212570122692,0.00168222339231038,0.0189684770221471,0.00114077297646877,0,0.000368165132529646,7.01853267555583e-05,1.42351681158022e-05,0,0,5.12542223442055e-05,2.78495294212747e-05,-0.000123391362638466,7.6183666972429e-06,0.000756179742543812,0.015050739629123,-6.1009523982499e-05,0,0.00665675323832596,0,0.00615047602716787,0.000100694968958624,0,0.000250886826067029,0,0.000278461750450171,0,0.00452477863909691,6.72544541213698e-06,0.0040369678003119,0,2.81636650945685e-06,0.00300348348386286,-5.55733219246364e-05,0,0,0,0.00662425895167167,1.88440758035511e-07,0.00104746818595019,-1.02680770562252e-06,0,0,0.00111975216373903,0,4.14606820141683e-05,0,0.00682925094696654,0,0.76010223027865
"ST",0.00576968934386906,0.0293506285270204,0,0,0.000464116292208963,0.0462928170212885,0.00906654808476554,0,-0.000839687412635848,0.00168505053063976,0,0,-0.00230742164435763,-9.23087943790789e-05,0.0040625107284231,0.0176128316157104,0,0.00207646877974206,0.00209962615092167,-5.66415572321171e-05,0,0,0.00192226258755253,3.91783847102329e-05,-0.000683317767788793,3.24316636605037e-05,0.00614656308543272,0.020662574527732,0.000709958186697102,0,0.0836683654997327,0,-0.00324322687242546,-0.00212733688399826,0,0.00289072140247152,0,-0.000617105005794042,0,0.00657823742244654,2.34074829334366e-05,0.0124625302302707,0,3.89212315120695e-06,-0.00665618114296015,-0.000446001399070485,0,0,0,-0.0160366987110336,4.98400739061923e-06,0.0248271216241654,-1.08957004284759e-06,0,0,-0.00272473583952959,0,-0.000823944237329528,0,-0.0114848871594998,0,0.908619114119081
"S1",0.0370879849021372,0,0,0,0,0,0,0,0.000847680408651666,7.13361964429014e-06,0,0,0,-9.64353497826988e-06,0.00196019499168498,0,0,2.6242409777479e-07,6.67555174508113e-05,0.00020094533443201,0,0,0,0,-8.19079054936449e-05,0.000120237193444129,0.000548395552898593,0.00605448755749679,-3.28020973149615e-05,0,0.00252486582730923,0,-0.000387337154232415,0.00295334749586911,0,1.83805511382248e-05,0,0,0,0,0,1.17908026422811e-05,0,0,0,0,0,0,0,0.00958772569231158,0,0,0,0,0,0,0,0,0,0,0,0.946932495333036
"ST",0.0370879849021372,0,0,0,0,0,0,0,0.000121920397587979,2.18549080372436e-05,0,0,0,0.0010995461499289,7.96014990242602e-05,0,0,-5.22293542253817e-05,0.000261669644253669,-0.000478641175237361,0,0,0,0,-0.000135605258482126,-3.53085798861648e-05,0.000328952528717094,0.00901150901944318,0.000130274951130654,0,0.0514301348282941,0,0.00112649589446352,-0.00137731076255937,0,0.000506908062544944,0,0,0,0,0,0.000468739184590239,0,0,0,0,0,0,0,-0.00935736678832409,0,0,0,0,0,0,0,0,0,0,0,0.97703422637745
