"Index","Lambda","filling_avg_temp","filling_fq_Maximum_temperature..31","filling_fq_Precipitation_amount..0.1","filling_fq_Precipitation_amount..40","filling_fq_Snow_depth..1","filling_length_days","filling_since_nyear_days","filling_since_seed_days","filling_sk_Maximum_temperature..31","filling_sk_Precipitation_amount..0.1","filling_sk_Precipitation_amount..40","filling_sk_Snow_depth..1","filling_total_prec","generative_avg_temp","generative_fq_Maximum_temperature..31","generative_fq_Precipitation_amount..0.1","generative_fq_Precipitation_amount..40","generative_fq_Snow_depth..1","generative_length_days","generative_since_nyear_days","generative_since_seed_days","generative_sk_Maximum_temperature..31","generative_sk_Precipitation_amount..0.1","generative_sk_Precipitation_amount..40","generative_sk_Snow_depth..1","generative_total_prec","NA_avg_temp","NA_fq_Maximum_temperature..31","NA_fq_Minimum_temperature...15","NA_fq_Precipitation_amount..0.1","NA_fq_Precipitation_amount..40","NA_fq_Snow_depth..1","NA_fq_Snow_depth..4","NA_length_days","NA_sk_Maximum_temperature..31","NA_sk_Minimum_temperature...15","NA_sk_Precipitation_amount..0.1","NA_sk_Precipitation_amount..40","NA_sk_Snow_depth..1","NA_sk_Snow_depth..4","NA_total_prec","vegetative_avg_temp","vegetative_fq_Maximum_temperature..31","vegetative_fq_Precipitation_amount..0.1","vegetative_fq_Precipitation_amount..40","vegetative_fq_Snow_depth..1","vegetative_fq_Snow_depth..4","vegetative_length_days","vegetative_since_nyear_days","vegetative_sk_Maximum_temperature..31","vegetative_sk_Precipitation_amount..0.1","vegetative_sk_Precipitation_amount..40","vegetative_sk_Snow_depth..1","vegetative_sk_Snow_depth..4","vegetative_total_prec","critical_events","filling","generative","NA.","vegetative","area"
"S1",0.0115393786877381,0.0191878668292588,0,0,0.000591007379039153,0.00199729830954731,-0.000100418365319563,0,-0.000106845511717443,0.000597142649073673,0,0,8.43495945610392e-05,0.00436027386168702,0.0119072895911889,0.000123142043202536,0,-0.000176387416457195,0.000422052589196168,0.000160509600550687,0,0,-0.000172167927310718,2.15190606099328e-05,-9.69471340891187e-05,0.000381582152570396,0.00178649352127607,0.0220696121447731,-0.000253697956127438,0,0.00570358781896368,0,0.00523033531463818,0.000619386400475899,0,6.77831413957238e-05,6.35217164533134e-05,0.000733430431583956,0,0.00532658738576934,3.06855201335596e-06,0.00788771975064469,0,0,0.00149291965412555,8.24606975492877e-05,0,0,0,0.00615103419445836,0,0.0029033095216408,8.99705666765374e-07,0,0,0.000759741554806085,0,-0.000578507421315112,0,0.00356193941719302,0,0.783849822578141
"ST",0.0115393786877381,0.0133046451807433,0,0,0.000252125247738984,0.0164082242944548,0.00344919295856878,0,-0.000409948705120157,0.00267532960944916,0,0,-0.00340426602618492,-0.00327269785395593,-0.00110308461321268,0.0158599735930924,0,0.00157449327012071,0.00361686165893622,-0.000103710792203265,0,0,0.0016616554601468,3.1855107233559e-05,-0.00183749839063564,0.000381259452203978,0.00408916528218132,0.00403966828376064,0.00118875510924167,0,0.0917004530291409,0,-0.00218763680412568,-0.00467926177885134,0,0.00254576660091239,0.000832445756968019,-0.00121312670403671,0,0.00304723386887485,6.36204337744824e-06,0.00895874209528887,0,0,-0.00278082860212048,-0.000691207701739705,0,0,0,-0.0170387788529052,0,0.0174884348637128,-2.91175099143092e-06,0,0,-0.00223263857676659,0,-0.00136031197197377,0,-0.00488040246433771,0,0.946692754810443
"S1",0.061582193275407,0,5.49809253097482e-06,0,0,0,0,0,0.000845890990624996,0.000707001332903762,0,0,0,0.00182665205457951,0.00253924552081417,0,0,-0.000169347046681255,0.000347063753710847,7.46691454279772e-05,0,0,0,0,-0.000101777440233567,0.000498092791111169,0.000682349904574514,0.00820981926502838,-0.000230711680816477,0,0.00387226141286166,0,0.000290867675151559,0.00320179120467598,0,-5.05172098372345e-05,0,0,0,0,0,0.00157337675797597,0,0,0,0,0,0,0,0.00806068172849618,0,0,0,0,0,0,0,0,0,0,0,0.900340526678553
"ST",0.061582193275407,0,-2.18735074342503e-05,0,0,0,0,0,0.00398053976248969,0.00220846976130613,0,0,0,0.000212291379656269,-0.000440378538121645,0,0,0.000164411809700607,0.000493907574478329,-8.50272725103847e-05,0,0,0,0,-0.000612642114846513,-0.000306273136352001,-3.42342102434114e-06,-0.00111836650217497,0.000503677997344059,0,0.0706282767721609,0,0.00192150368369422,-0.00165448427840337,0,0.00119231874896665,0,0,0,0,0,0.000155206683417994,0,0,0,0,0,0,0,-0.0111821688627121,0,0,0,0,0,0,0,0,0,0,0,0.99102092341638
