"Index","Lambda","filling_avg_temp","filling_fq_Maximum_temperature..31","filling_fq_Precipitation_amount..0.1","filling_fq_Precipitation_amount..40","filling_fq_Snow_depth..1","filling_length_days","filling_since_nyear_days","filling_since_seed_days","filling_sk_Maximum_temperature..31","filling_sk_Precipitation_amount..0.1","filling_sk_Precipitation_amount..40","filling_sk_Snow_depth..1","filling_total_prec","generative_avg_temp","generative_fq_Maximum_temperature..31","generative_fq_Precipitation_amount..0.1","generative_fq_Precipitation_amount..40","generative_fq_Snow_depth..1","generative_length_days","generative_since_nyear_days","generative_since_seed_days","generative_sk_Maximum_temperature..31","generative_sk_Precipitation_amount..0.1","generative_sk_Precipitation_amount..40","generative_sk_Snow_depth..1","generative_total_prec","NA_avg_temp","NA_fq_Maximum_temperature..31","NA_fq_Minimum_temperature...15","NA_fq_Precipitation_amount..0.1","NA_fq_Precipitation_amount..40","NA_fq_Snow_depth..1","NA_fq_Snow_depth..4","NA_length_days","NA_sk_Maximum_temperature..31","NA_sk_Minimum_temperature...15","NA_sk_Precipitation_amount..0.1","NA_sk_Precipitation_amount..40","NA_sk_Snow_depth..1","NA_sk_Snow_depth..4","NA_total_prec","vegetative_avg_temp","vegetative_fq_Maximum_temperature..31","vegetative_fq_Precipitation_amount..0.1","vegetative_fq_Precipitation_amount..40","vegetative_fq_Snow_depth..1","vegetative_fq_Snow_depth..4","vegetative_length_days","vegetative_since_nyear_days","vegetative_sk_Maximum_temperature..31","vegetative_sk_Precipitation_amount..0.1","vegetative_sk_Precipitation_amount..40","vegetative_sk_Snow_depth..1","vegetative_sk_Snow_depth..4","vegetative_total_prec","critical_events","filling","generative","NA.","vegetative","area"
"S1",0.0331687035598726,0.10485868884745,0.000857480590277813,0.00161091301834953,-0.0165189705325,0.0147852848589119,0.0022960419971187,-0.0126819783860695,0.0305412081700805,0.0192727191990763,7.86912536490563e-05,-0.00575105372245107,-0.0242031862459308,0.0269353900023613,0.0183223150214804,-0.00264619019105424,-0.00992944268803195,-0.00432897950185252,-0.0107540932437582,0.013393103758341,-0.0339960974154017,-0.000726834592271491,-0.000943694527903711,-0.00351852401197787,-0.00016978349626951,0.00423964515690713,-0.00447307801034087,0.0262191141257261,-0.0013837847129638,0.00493089678059937,-0.0243608981162998,0.00105789247088791,0.06947905050121,-0.0413602581828046,-0.00548555244581702,0.00614331001772438,-0.0190940381494259,-0.0154461784554514,0.00102813654507558,-0.0107849869210022,0.0192972309071483,0.0723164580741686,-0.0150897180624558,0.00178749763919777,0.0321657384044666,0.00103408570117851,-0.00701420539285307,-0.000909084016076299,0.00751027534221084,-0.0466763176703822,0.000898073298195685,-0.00622512539711854,-0.000412498739797084,0.00770208267682379,-0.000479734043786394,0.00757069868641499,0.00316196745102584,-0.0171488235081063,-0.00768206649555905,-0.00200092375183615,0.0115287133280899,0.938210147907803
"ST",0.0331687035598726,-0.0134853403082665,-0.000743198468073982,0.000818768807110906,-0.0373193572644015,-0.00250608338280426,-0.00785830896411875,0.00111183248757544,0.0253917133494402,-0.00626617041596566,-0.00153220196095512,0.0149378951190939,-0.0205117059749291,-0.0199437426391081,-0.0300002074351889,0.00759295131534037,-0.00791868271914413,0.00215263113352538,0.0151344349935805,0.00262936160052281,-0.0264477086273982,0.00437593260252979,0.000184985959486316,-3.77087909358684e-05,0.0126062814296105,0.00844924626285163,0.00563827529544668,0.0197402438221471,-0.00794853642438982,0.00533633124065227,0.0292269534880685,-0.00187211932534875,0.050605858386479,-0.0127406043033729,0.00565044784264445,-0.00693120145384528,-0.0162507916031746,-0.00712184921668936,-8.55500176227793e-05,-0.0100567121934696,0.0143168266006503,0.0339156434735847,0.00972475634265508,-0.00188450586924956,0.0221629904604661,-0.000888549772054177,0.00424553649178923,0.000940022595097353,0.00236559273732254,-0.0361743272249177,-2.47741547433724e-05,-0.00176012482648881,-0.000186018824873129,0.00751007005234434,0.000149771386177814,0.00151762178391425,0.00192843530211528,-0.0160108876585331,0.0014444201027371,0.0251849665420995,0.00305767737264623,0.881657343443159
"S1",0.0840947532438576,0.0536470536772892,-0.00085577317164497,0.00296813305928394,-0.0139691219900844,0.00603859333750362,0.00152898854847158,-0.0105772217545241,0.0364036337658526,0.0166730507321236,0.000102556767961201,-0.00563432807403683,-0.0150959882474494,0.0232394146640539,0.0159379506838711,-0.0039049498195531,0.00347845444947379,-0.00415707825227288,-0.0122130899648469,0.0126049805645401,-0.0380289280667752,0.000744013259995057,-0.00061637537892812,-0.00492411511128294,-0.00119977799078678,0.00834241916642431,-0.00437701675689294,0.0123574223350175,-0.000686283355074665,0.00480488882673874,-0.0244222233332839,0.000938318223581268,0.0608165984678423,-0.0506983534212764,0.00277016029124736,0.00842768619019272,-0.0231069321260014,-0.0107729668813907,0.000580346844804316,-0.00630768416388688,0.0063592071824026,0.0839687282591122,-0.00974343899639134,0.000877576544809827,0.0177823338137087,0.00159987067400204,-0.00915498269696747,-0.00182200667422944,0.0120298801866981,-0.0567246052397039,0.00031128809083441,-0.00432644274857918,-0.000356270328692324,0.0152823455042044,-0.00071893139351381,0.00626983748719615,0.00324735211718499,-0.0056972766481375,-0.0129504934415358,-0.00442670744737943,0.00836634967598686,0.979545075426926
"ST",0.0840947532438576,-0.0264844308312103,0.00136600541154684,0.000910808432360865,-0.0336772932483741,-0.0039326165103103,-0.00457220729649587,0.0035965843638336,0.0295122993807172,-0.0114103320426684,-0.00211782559813956,0.00941460097584457,-0.0124958673965143,-0.0337505274643961,-0.0286021931265884,0.00665264651353364,0.00267878279321013,0.00473591964321722,0.0194389762069853,-0.000757737751386467,-0.028302560575753,0.00693934551093263,0.000402463208670718,0.00128256251470927,0.0158587068165195,0.0135200536263206,0.00764787080392961,0.00793969538996011,-0.00868708525899798,0.00506340818949677,0.0419976124623163,-0.00113635986996104,0.0412163958909711,-0.0177037575635677,-0.00350181406532601,-0.00795913607580341,-0.0188745978570429,-0.00511424211469488,-0.000281321366940173,-0.00572954158871104,0.0043069679734762,0.0389620336644669,0.00998629533314975,-0.000879112679213662,0.0108277489504891,-0.00147822590401809,0.00890337372556932,0.00183604074066389,0.00200175950451305,-0.0431324626901565,-0.000119299259103638,-0.000542045028840555,-6.84415268097999e-05,0.0147754077344932,0.000430730082190352,0.000345244380546699,0.0015264757778208,-0.0052443677966585,0.00756395981978635,0.0230429126999112,0.000136758389068945,0.911716375492994
