"Index","Lambda","filling_avg_temp","filling_fq_Maximum_temperature..31","filling_fq_Precipitation_amount..0.1","filling_fq_Precipitation_amount..40","filling_fq_Snow_depth..1","filling_length_days","filling_since_nyear_days","filling_since_seed_days","filling_sk_Maximum_temperature..31","filling_sk_Precipitation_amount..0.1","filling_sk_Precipitation_amount..40","filling_sk_Snow_depth..1","filling_total_prec","generative_avg_temp","generative_fq_Maximum_temperature..31","generative_fq_Precipitation_amount..0.1","generative_fq_Precipitation_amount..40","generative_fq_Snow_depth..1","generative_length_days","generative_since_nyear_days","generative_since_seed_days","generative_sk_Maximum_temperature..31","generative_sk_Precipitation_amount..0.1","generative_sk_Precipitation_amount..40","generative_sk_Snow_depth..1","generative_total_prec","NA_avg_temp","NA_fq_Maximum_temperature..31","NA_fq_Minimum_temperature...15","NA_fq_Precipitation_amount..0.1","NA_fq_Precipitation_amount..40","NA_fq_Snow_depth..1","NA_fq_Snow_depth..4","NA_length_days","NA_sk_Maximum_temperature..31","NA_sk_Minimum_temperature...15","NA_sk_Precipitation_amount..0.1","NA_sk_Precipitation_amount..40","NA_sk_Snow_depth..1","NA_sk_Snow_depth..4","NA_total_prec","vegetative_avg_temp","vegetative_fq_Maximum_temperature..31","vegetative_fq_Precipitation_amount..0.1","vegetative_fq_Precipitation_amount..40","vegetative_fq_Snow_depth..1","vegetative_fq_Snow_depth..4","vegetative_length_days","vegetative_since_nyear_days","vegetative_sk_Maximum_temperature..31","vegetative_sk_Precipitation_amount..0.1","vegetative_sk_Precipitation_amount..40","vegetative_sk_Snow_depth..1","vegetative_sk_Snow_depth..4","vegetative_total_prec","critical_events","filling","generative","NA.","vegetative","area"
"S1",0.00872911680230834,0.0424485366098037,0,0,0.00271798283746632,0.00484841992940372,0.00483678191415509,0,0.000116456547190779,0.000742579086889675,0,0,0.00251799670967147,-0.00414060124667121,0.017730386803895,0.00104514997112011,-7.73743379975576e-06,-0.00138060029907638,-0.000294109269535586,0.000411195467728526,0,0,-0.000868335957880305,-0.000152403077239489,-0.0001482164852579,-0.0004593231143129,-0.000316743332045136,0.0353774576563508,0.000275449395655153,0,0.0436146486668425,1.43831536297798e-05,-0.0145344742227433,0.00578536292904724,0,0.00219523755582022,0.000100114708679783,0.00199606635705364,0.00012712504812531,0.00450963167275919,0.0016711811032838,0.0034063267516985,0,0.000113034814938071,0.00047457920210815,1.95724486959335e-05,0,0,0,0.00771044180968904,-8.56710074122202e-05,0.00662925988740036,-1.06617444722126e-06,0,0,-0.00193241140615648,0,-0.00039013547351317,0,0.00758127640768318,0,0.758506490066951
"ST",0.00872911680230834,0.0272134085207442,0,0,-0.00127930479710526,0.0042068850248266,0.000401580471338688,0,-0.000273611214193723,0.000533369298518942,0,0,-0.00293776374237092,0.00878382386952545,0.0148211786251572,-0.000599849708132917,7.34365785131536e-06,0.0012362204206496,-0.000377735793612501,-0.000595397376951642,0,0,0.00134923863741318,-3.74374325705697e-06,0.000763632371613097,0.000388081032143906,0.00180857986357006,0.0189842016618834,-0.000269910660911109,0,0.036137507055228,-1.14911856641655e-05,0.0142230169907331,0.00486482229683977,0,-0.00137594361475854,0.000299020710416318,0.00121614935332511,-0.000100133539747658,0.00580243703949134,-0.0016902403397526,0.00421959327739112,0,-7.21053772077223e-05,0.00205181003575946,3.43914550679311e-05,0,0,0,0.00866299745493368,7.19326396955744e-05,-0.0028290981020588,1.73799365250104e-06,0,0,0.00471328070662488,0,0.000543006336219319,0,0.0166079719248887,0,0.894028740203421
"S1",0.0561114009573183,0,8.60567591848462e-05,0,0,0,0,0,0.00733317410701553,0.000651750247447554,0,0,0,-0.00340745711986639,0.0025947868502486,0,0,-0.000948648331712411,-0.000613759020094794,0.00118452167855028,0,0,0,0,-0.000376608477342596,-0.00137861983199974,-0.000352916041484055,0.0094203702233702,0.000134828902681585,0,0.0433630430158423,0,-0.00589935289900769,0.0040578768235286,0,0.00130181538773054,0,0,0,0,0,0.000478541627534849,0,0,0,0,0,0,0,0.00907064277610333,0,0.000290636445802808,0,0,0,0,0,0,0,0,0,0.845336714021498
"ST",0.0561114009573183,0,-7.98729992376093e-05,0,0,0,0,0,-0.00182115737666929,0.000234817168747155,0,0,0,0.00612301192566753,0.0011852961479902,0,0,0.000759537485220895,-0.000642525507941327,-0.000630006449653346,0,0,0,0,0.00049025653927804,0.00185301007025706,0.000985398531983614,-0.000208700568134538,-0.000115064718189589,0,0.0345222862763868,0,0.00884095097193258,0.00249782779532943,0,-0.00093074351712865,0,0,0,0,0,0.0010986396692909,0,0,0,0,0,0,0,0.0101028936625371,0,-0.00034236062407587,0,0,0,0,0,0,0,0,0,1.0263263593747
